Time:1448260 || State: AFTER_LIFTOFF
Time:1448270 || State: AFTER_LIFTOFF
Time:1448280 || State: AFTER_LIFTOFF
Time:1448290 || State: AFTER_LIFTOFF
Time:1448300 || State: AFTER_LIFTOFF
Time:1448310 || State: AFTER_LIFTOFF
Time:1448320 || State: AFTER_LIFTOFF
Time:1448330 || State: AFTER_LIFTOFF
Time:1448340 || State: AFTER_LIFTOFF
Time:1448350 || State: AFTER_LIFTOFF
Time:1448360 || State: AFTER_LIFTOFF
Time:1448370 || State: AFTER_LIFTOFF
Time:1448380 || State: AFTER_LIFTOFF
Time:1448390 || State: AFTER_LIFTOFF
Time:1448400 || State: AFTER_LIFTOFF
Time:1448410 || State: AFTER_LIFTOFF
Time:1448420 || State: AFTER_LIFTOFF
Time:1448430 || State: AFTER_LIFTOFF
Time:1448440 || State: AFTER_LIFTOFF
Time:1448450 || State: AFTER_LIFTOFF
Time:1448460 || State: AFTER_LIFTOFF
Time:1448470 || State: AFTER_LIFTOFF
Time:1448480 || State: AFTER_LIFTOFF
Time:1448490 || State: AFTER_LIFTOFF
Time:1448500 || State: AFTER_LIFTOFF
Time:1448510 || State: AFTER_LIFTOFF
Time:1448520 || State: AFTER_LIFTOFF
Time:1448530 || State: AFTER_LIFTOFF
Time:1448540 || State: AFTER_LIFTOFF
Time:1448550 || State: AFTER_LIFTOFF
Time:1448560 || State: AFTER_LIFTOFF
Time:1448570 || State: AFTER_LIFTOFF
Time:1448580 || State: AFTER_LIFTOFF
Time:1448590 || State: AFTER_LIFTOFF
Time:1448600 || State: AFTER_LIFTOFF
Time:1448620 || State: AFTER_LIFTOFF
Time:1448630 || State: AFTER_LIFTOFF
Time:1448640 || State: AFTER_LIFTOFF
Time:1448650 || State: AFTER_LIFTOFF
Time:1448660 || State: AFTER_LIFTOFF
Time:1448670 || State: AFTER_LIFTOFF
Time:1448680 || State: AFTER_LIFTOFF
Time:1448690 || State: AFTER_LIFTOFF
Time:1448700 || State: AFTER_LIFTOFF
Time:1448710 || State: AFTER_LIFTOFF
Time:1448720 || State: AFTER_LIFTOFF
Time:1448730 || State: AFTER_LIFTOFF
Time:1448740 || State: AFTER_LIFTOFF
Time:1448750 || State: AFTER_LIFTOFF
Time:1448760 || State: AFTER_LIFTOFF
Time:1448770 || State: AFTER_LIFTOFF
Time:1448780 || State: AFTER_LIFTOFF
Time:1448790 || State: AFTER_LIFTOFF
Time:1448800 || State: AFTER_LIFTOFF
Time:1448810 || State: AFTER_LIFTOFF
Time:1448820 || State: AFTER_LIFTOFF
Time:1448830 || State: AFTER_LIFTOFF
Time:1448840 || State: AFTER_LIFTOFF
Time:1448850 || State: AFTER_LIFTOFF
Time:1448860 || State: AFTER_LIFTOFF
Time:1448870 || State: AFTER_LIFTOFF
Time:1448880 || State: AFTER_LIFTOFF
Time:1448890 || State: AFTER_LIFTOFF
Time:1448900 || State: AFTER_LIFTOFF
Time:1448910 || State: AFTER_LIFTOFF
Time:1448920 || State: AFTER_LIFTOFF
Time:1448930 || State: AFTER_LIFTOFF
Time:1448940 || State: AFTER_LIFTOFF
Time:1448950 || State: AFTER_LIFTOFF
Time:1448960 || State: AFTER_LIFTOFF
Time:1448970 || State: AFTER_LIFTOFF
Time:1448980 || State: AFTER_LIFTOFF
Time:1448990 || State: AFTER_LIFTOFF
Time:1449000 || State: AFTER_LIFTOFF
Time:1449010 || State: AFTER_LIFTOFF
Time:1449020 || State: AFTER_LIFTOFF
Time:1449030 || State: AFTER_LIFTOFF
Time:1449040 || State: AFTER_LIFTOFF
Time:1449050 || State: AFTER_LIFTOFF
Time:1449060 || State: AFTER_LIFTOFF
Time:1449070 || State: AFTER_LIFTOFF
Time:1449080 || State: AFTER_LIFTOFF
Time:1449090 || State: AFTER_LIFTOFF
Time:1449100 || State: AFTER_LIFTOFF
Time:1449110 || State: AFTER_LIFTOFF
Time:1449120 || State: AFTER_LIFTOFF
Time:1449130 || State: AFTER_LIFTOFF
Time:1449140 || State: AFTER_LIFTOFF
Time:1449150 || State: AFTER_LIFTOFF
Time:1449160 || State: AFTER_LIFTOFF
Time:1449170 || State: AFTER_LIFTOFF
Time:1449180 || State: AFTER_LIFTOFF
Time:1449190 || State: AFTER_LIFTOFF
Time:1449200 || State: AFTER_LIFTOFF
Time:1449210 || State: AFTER_LIFTOFF
Time:1449220 || State: AFTER_LIFTOFF
